category,price,area,rooms,baths,garages,stratification,latitude,longitude,management_fee
-1,2150000000,530,4,5,0,6,4.76870839,-74.06175623,720000
-1,4500000000,530,4,5,3,6,4.684999465942383,-74.03121185302734,600000
-1,2150500000,530,4,5,0,6,4.76870839,-74.06175623,720000
-1,2150000000,530,4,5,0,6,4.76870839,-74.06175623,720000
-1,2100000000,525,4,5,4,6,4.760351657867432,-74.04080200195312,0
-1,4000000000,525,5,5,4,5,4.707095146179199,-74.04655456542969,700000
-1,1300000000,500,5,5,3,4,4.66861497,-74.11167277,0
-1,1700000000,500,1,5,0,5,4.65488931,-74.06185871,0
-1,2950000000,497,4,5,4,5,4.7666401863098145,-74.06338500976562,1000000
-1,1200000000,480,5,4,3,4,4.6432318687438965,-74.06829833984375,0
-1,1600000000,480,0,6,4,5,4.65139007568359,-74.0845489501953,0
-1,1400000000,471,5,5,2,5,4.639857292175293,-74.05838012695312,0
-1,1400000000,471,5,5,1,5,4.6398573,-74.05838336,0
-1,1800000000,470,4,6,9,5,4.7640495300293,-74.0694732666016,650000
-1,980000000,465,5,5,4,4,4.670304,-74.10528,0
-1,1300000000,460,5,3,2,4,4.6394825,-74.074974,0
-1,1300000000,460,5,6,0,0,4.66582584381104,-74.044677734375,0
-1,1300000000,454,5,4,0,4,4.64889598,-74.07198569,0
-1,1850000000,450,4,5,4,5,4.78387075,-74.04126374,700000
-1,1850000000,450,4,5,4,5,4.78387075,-74.04126374,700000
-1,1850000000,450,4,5,4,5,4.78387075,-74.04126374,700000
-1,2300000000,450,4,5,4,5,4.718906402587891,-74.04606628417969,0
-1,3300000000,447,5,4,0,3,4.65568796,-74.06126125,0
-1,980000000,444,5,4,3,6,4.705102443695068,-74.0364990234375,0
-1,2200000000,440,3,4,4,6,4.763095378875732,-74.05730438232422,1000000
-1,2200000000,440,4,4,3,5,4.76309522,-74.05730094,1100000
-1,6250000000,435,3,4,4,6,4.663453578948975,-74.0462417602539,3686221
-1,5600000000,435,4,5,3,6,4.684999465942383,-74.03121185302734,360000
-1,1500000000,431,10,12,2,1,4.58268022537231,-74.1258010864258,0
1,2950000000,429,4,5,3,6,4.67143869400024,-74.0398483276367,1800000
